"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
69162,Berkshire Bank,"1427CV000070",Civil,Disposed (Statistical Purposes),20140218,20140609
208069,Berkshire Bank,"1427CV000083",Civil,Disposed (Statistical Purposes),20140224,20141208
261092,Berkshire Bank,"1427CV000098",Civil,Disposed (Statistical Purposes),20140304,20140707
553887,Berkshire Bank,"1427CV000402",Civil,Disposed (Statistical Purposes),20141107,20150423
1098716,Berkshire Bank,"1427CV000447",Civil,Disposed (Statistical Purposes),20141229,20150401
1443108,Berkshire Bank,"1427CV000239",Civil,Disposed (Statistical Purposes),20140612,20140710
4256307,Berkshire Bank,"1376CV01168",Real Property,Open,20130910,20130910
4573951,Berkshire Bank,"1223CV000580",Civil,Disposed (Statistical Purposes),20120327,20120507
4957357,Berkshire Bank,"1127CV000363",Civil,Disposed (Statistical Purposes),20110802,20120229
5525086,Berkshire Bank,"1176CV00363",Contract / Business Cases,Closed,20111221,20120312
7171566,Berkshire Bank,"1285CV01940",Real Property,Closed,20120927,20130709
7284991,Berkshire Bank,"1276CV00150",Real Property,Closed,20120525,20140304
11250411,Berkshire Bank,"1027CV000785",Civil,Disposed (Statistical Purposes),20101222,20110125
11702928,Berkshire Bank,"1476CV00162",Contract / Business Cases,Closed,20140529,20140902
13209459,Berkshire Bank,"1127SC000104",Small Claims,Disposed (Statistical Purposes),20110214,20110325
13211459,Berkshire Bank,"1127SC000105",Small Claims,Disposed (Statistical Purposes),20110214,20110325
13214893,Berkshire Bank,"1127SC000107",Small Claims,Disposed (Statistical Purposes),20110214,20110317
13216808,Berkshire Bank,"1127SC000108",Small Claims,Disposed (Statistical Purposes),20110214,20110325
13218344,Berkshire Bank,"1127SC000109",Small Claims,Disposed (Statistical Purposes),20110214,20110325
13220491,Berkshire Bank,"1127SC000110",Small Claims,Disposed (Statistical Purposes),20110214,20110325
14566225,Berkshire Bank,"1323SC002651",Small Claims,Disposed (Statistical Purposes),20130830,20131024
15763837,Berkshire Bank,"1327CV000292",Civil,Disposed (Statistical Purposes),20130729,20140514
15881811,Berkshire Bank,"1225CV000161",Civil,Disposed (Statistical Purposes),20120216,20120418
16028440,Berkshire Bank,"1327CV000337",Civil,Disposed (Statistical Purposes),20130904,20140206
16031239,Berkshire Bank,"1327CV000338",Civil,Disposed (Statistical Purposes),20130904,20140206
16307617,Berkshire Bank,"1327CV000376",Civil,Disposed (Statistical Purposes),20130927,20140701
16323654,Berkshire Bank,"1327SP000122",Supplementary Process,Disposed (Statistical Purposes),20130927,20131105
16359702,Berkshire Bank,"1327CV000391",Civil,Disposed (Statistical Purposes),20131008,20131231
16466841,Berkshire Bank,"1327CV000407",Civil,Disposed (Statistical Purposes),20131024,20140225
16915496,Berkshire Bank,"1327SP000152",Supplementary Process,Disposed (Statistical Purposes),20131213,20140121
16919112,Berkshire Bank,"1327SP000153",Supplementary Process,Disposed (Statistical Purposes),20131213,20140129
17682854,Berkshire Bank,"1029SU000034",Summary Process,Disposed (Statistical Purposes),20101129,20101223
17717855,Berkshire Bank,"1376CV00025",Contract / Business Cases,Closed,20130125,20130410
17865128,Berkshire Bank,"1276CV00047",Contract / Business Cases,Closed,20120221,20120322
17866111,Berkshire Bank,"1276CV00128",Real Property,Closed,20120427,20120619
17866936,Berkshire Bank,"1276CV00090",Real Property,Closed,20120321,20120511
17887419,Berkshire Bank,"1276CV00135",Real Property,Closed,20120511,20120716
17888158,Berkshire Bank,"1276CV00136",Real Property,Closed,20120511,20120817
17892537,Berkshire Bank,"1276CV00059",Real Property,Closed,20120302,20120427
17893419,Berkshire Bank,"1276CV00060",Real Property,Closed,20120302,20120504
17895533,Berkshire Bank,"1276CV00139",Real Property,Closed,20120516,20120730
17895602,Berkshire Bank,"1276CV00061",Real Property,Closed,20120302,20120427
17895900,Berkshire Bank,"1276CV00140",Real Property,Closed,20120516,20120730
17907210,Berkshire Bank,"1276CV00146",Real Property,Closed,20120524,20120727
17908489,Berkshire Bank,"1276CV00148",Real Property,Closed,20120525,20120726
17909071,Berkshire Bank,"1276CV00069",Real Property,Closed,20120308,20120509
17910056,Berkshire Bank,"1276CV00110",Real Property,Closed,20120413,20120605
17916217,Berkshire Bank,"1276CV00152",Real Property,Closed,20120530,20120803
17924889,Berkshire Bank,"1276CV00075",Real Property,Closed,20120314,20120508
18256936,Berkshire Bank,"1476CV00195",Real Property,Closed,20140702,20140821
18273269,Berkshire Bank,"1476CV00205",Real Property,Closed,20140722,20140915
18307383,Berkshire Bank,"1476CV00203",Real Property,Closed,20140716,20140912
18375283,Berkshire Bank,"1476CV00227",Real Property,Closed,20140825,20141022
18411076,Berkshire Bank,"1476CV00253",Real Property,Closed,20140922,20141118
18443296,Berkshire Bank,"1476CV00286",Real Property,Closed,20141024,20150108
18555608,Berkshire Bank,"1480CV00124",Real Property,Closed,20140619,20141217
18592857,Berkshire Bank,"1376CV00284",Real Property,Closed,20131007,20131226
18604344,Berkshire Bank,"1376CV00293",Real Property,Closed,20131016,20131211
18624599,Berkshire Bank,"1376CV00336",Real Property,Closed,20131203,20140130
18625371,Berkshire Bank,"1376CV00337",Real Property,Closed,20131203,20131224
18628182,Berkshire Bank,"1476CV00347",Real Property,Closed,20141215,20150325
18633830,Berkshire Bank,"1476CV00348",Real Property,Closed,20141215,20150210
18682230,Berkshire Bank,"1476CV00358",Real Property,Closed,20141229,20150225
18763508,Berkshire Bank,"1176CV00020",Real Property,Closed,20110126,20110505
19001839,Berkshire Bank,"1476CV00060",Real Property,Closed,20140221,20140624
19002008,Berkshire Bank,"1476CV00046",Real Property,Closed,20140207,20140401
19005180,Berkshire Bank,"1476CV00047",Real Property,Closed,20140207,20140403
19009402,Berkshire Bank,"1476CV00048",Real Property,Closed,20140207,20140401
19048928,Berkshire Bank,"1280CV00199",Real Property,Closed,20120927,20130108
19077617,Berkshire Bank,"1476CV00109",Real Property,Closed,20140404,20140530
19130136,Berkshire Bank,"1176CV00173",Contract / Business Cases,Open,20110609,20111003
19132788,Berkshire Bank,"1176CV00178",Contract / Business Cases,Open,20110614,20111024
19150426,Berkshire Bank,"1476CV00184",Real Property,Closed,20140618,20140926
19184101,Berkshire Bank,"1076CV00223",Real Property,Closed,20100729,20100914
19189076,Berkshire Bank,"1476CV00165",Real Property,Closed,20140603,20140723
19192987,Berkshire Bank,"1476CV00191",Real Property,Closed,20140626,20140828
19217680,Berkshire Bank,"1476CV00192",Real Property,Closed,20140630,20140818
19218457,Berkshire Bank,"1076CV00230",Real Property,Closed,20100804,20100824
19221430,Berkshire Bank,"1476CV00183",Real Property,Closed,20140618,20140630
19275508,Berkshire Bank,"1076CV00264",Real Property,Closed,20100908,20101110
19294559,Berkshire Bank,"1076CV00271",Contract / Business Cases,Closed,20100910,20110314
19348509,Berkshire Bank,"1376CV00105",Real Property,Closed,20130417,20130613
19349831,Berkshire Bank,"1376CV00107",Real Property,Closed,20130417,20130612
19356847,Berkshire Bank,"1376CV00118",Real Property,Closed,20130426,20140730
19362685,Berkshire Bank,"1276CV00337",Real Property,Closed,20121114,20130312
19362912,Berkshire Bank,"1376CV00126",Real Property,Closed,20130502,20130628
19366830,Berkshire Bank,"1376CV00163",Real Property,Closed,20130611,20130806
19367287,Berkshire Bank,"1276CV00340",Equitable Remedies,Suspended,20121114,20130919
19368326,Berkshire Bank,"1376CV00164",Real Property,Closed,20130611,20130729
19369808,Berkshire Bank,"1376CV00165",Real Property,Closed,20130611,20130806
19374169,Berkshire Bank,"1276CV00289",Contract / Business Cases,Closed,20121010,20130522
19375048,Berkshire Bank,"1376CV00144",Real Property,Closed,20130517,20130712
19375697,Berkshire Bank,"1376CV00145",Equitable Remedies,Open,20130517,20140221
19394284,Berkshire Bank,"1276CV00308",Real Property,Closed,20121025,20121220
19394890,Berkshire Bank,"1276CV00309",Real Property,Closed,20121025,20121217
19395475,Berkshire Bank,"1076CV00028",Real Property,Closed,20100126,20100420
19397068,Berkshire Bank,"1376CV00149",Real Property,Closed,20130521,20130730
19403345,Berkshire Bank,"1276CV00313",Real Property,Closed,20121029,20130109
19412382,Berkshire Bank,"1276CV00362",Real Property,Closed,20121210,20130131
19412710,Berkshire Bank,"1276CV00363",Real Property,Closed,20121210,20130412
19413368,Berkshire Bank,"1276CV00364",Real Property,Closed,20121210,20130201
19414081,Berkshire Bank,"1276CV00366",Real Property,Closed,20121210,20130201
19419397,Berkshire Bank,"1076CV00034",Real Property,Closed,20100128,20100420
19586545,Berkshire Bank,"1076CV00159",Real Property,Closed,20100517,20100728
19587578,Berkshire Bank,"1076CV00160",Real Property,Closed,20100517,20100811
19617158,Berkshire Bank,"1176CV00212",Real Property,Closed,20110720,20110919
19622346,Berkshire Bank,"1176CV00222",Real Property,Closed,20110727,20110916
19622493,Berkshire Bank,"1176CV00223",Real Property,Closed,20110727,20111107
19631658,Berkshire Bank,"1176CV00242",Real Property,Closed,20110810,20111017
19646221,Berkshire Bank,"1176CV00255",Contract / Business Cases,Open,20110824,20120928
21580084,Berkshire Bank,"0520SP000040",Supplementary Process,Disposed (Statistical Purposes),20050407,20050613
21702883,Berkshire Bank,"0852CV000719",Civil,Disposed (Statistical Purposes),20080602,20080801
23356195,Berkshire Bank,"0715CV001027",Civil,Disposed (Statistical Purposes),20070418,20071106
25966419,Berkshire Bank,"0941CV000572",Civil,Disposed (Statistical Purposes),20091123,20091229
26311049,Berkshire Bank,"0618CV000085",Civil,Disposed (Statistical Purposes),20060127,20060504
26708142,Berkshire Bank,"0528SC000257",Small Claims,Disposed (Statistical Purposes),20050412,20050616
28080543,Berkshire Bank,"0527CV000181",Civil,Disposed (Statistical Purposes),20050421,20050725
28102276,Berkshire Bank,"0527SC000582",Small Claims,Disposed (Statistical Purposes),20050502,20050609
28118972,Berkshire Bank,"0527SC000581",Small Claims,Disposed (Statistical Purposes),20050502,20050609
28220039,Berkshire Bank,"0527SC000692",Small Claims,Disposed (Statistical Purposes),20050524,20050701
28220906,Berkshire Bank,"0527SC000694",Small Claims,Disposed (Statistical Purposes),20050524,20050701
28223393,Berkshire Bank,"0527SC000693",Small Claims,Disposed (Statistical Purposes),20050524,20050701
28255796,Berkshire Bank,"0527CV000288",Civil,Disposed (Statistical Purposes),20050610,20060124
28398204,Berkshire Bank,"0543CV000036",Civil,Disposed (Statistical Purposes),20050203,20050420
28798630,Berkshire Bank,"0527SC000068",Small Claims,Disposed (Statistical Purposes),20050125,20050303
28811168,Berkshire Bank,"0527CV000055",Civil,Disposed (Statistical Purposes),20050203,20050330
28861592,Berkshire Bank,"0527CV000082",Civil,Disposed (Statistical Purposes),20050228,20051121
30823716,Berkshire Bank,"0523CV000497",Civil,Disposed (Statistical Purposes),20050228,20050419
32183475,Berkshire Bank,"0927SP000363",Supplementary Process,Disposed (Statistical Purposes),20091113,20091222
32189122,Berkshire Bank,"0927SP000364",Supplementary Process,Disposed (Statistical Purposes),20091113,20091222
32189577,Berkshire Bank,"0927SP000362",Supplementary Process,Disposed (Statistical Purposes),20091112,20091222
32210704,Berkshire Bank,"1527SP000050",Supplementary Process,Disposed (Statistical Purposes),20150529,20150722
32352811,Berkshire Bank,"0927CV000946",Civil,Disposed (Statistical Purposes),20091229,20100505
32524094,Berkshire Bank,"0728SP000037",Supplementary Process,Disposed (Statistical Purposes),20070521,20070710
32663627,Berkshire Bank,"0628CV000244",Civil,Disposed (Statistical Purposes),20060908,20070222
33291708,Berkshire Bank,"0628CV000022",Civil,Disposed (Statistical Purposes),20060201,20060420
33374228,Berkshire Bank,"0727SC000394",Small Claims,Disposed (Statistical Purposes),20070410,20070516
33411707,Berkshire Bank,"1527CV000039",Civil,Disposed (Statistical Purposes),20150206,20150302
33446803,Berkshire Bank,"1527CV000035",Civil,Disposed (Statistical Purposes),20150203,20150810
33485282,Berkshire Bank,"1527CV000085",Civil,Disposed (Statistical Purposes),20150317,20150318
33522653,Berkshire Bank,"0627CV000371",Civil,Disposed (Statistical Purposes),20060714,20060901
33529070,Berkshire Bank,"0627SC000948",Small Claims,Disposed (Statistical Purposes),20060711,20060818
33599973,Berkshire Bank,"1527CV000259",Civil,Disposed (Statistical Purposes),20150819,20150901
33605590,Berkshire Bank,"1527CV000260",Civil,Disposed (Statistical Purposes),20150819,20151119
33654953,Berkshire Bank,"0627SC001109",Small Claims,Disposed (Statistical Purposes),20060824,20060928
33900346,Berkshire Bank,"0527CV000390",Civil,Disposed (Statistical Purposes),20050804,20050920
33943357,Berkshire Bank,"0727SC000455",Small Claims,Disposed (Statistical Purposes),20070417,20070516
34006741,Berkshire Bank,"0527SC001249",Small Claims,Disposed (Statistical Purposes),20050914,20051026
34051064,Berkshire Bank,"0727SC000578",Small Claims,Disposed (Statistical Purposes),20070516,20070622
34054209,Berkshire Bank,"0727SC000577",Small Claims,Disposed (Statistical Purposes),20070516,20070622
34063923,Berkshire Bank,"0727SC000576",Small Claims,Disposed (Statistical Purposes),20070516,20070622
34080943,Berkshire Bank,"0727CV000336",Civil,Disposed (Statistical Purposes),20070601,20071212
34152665,Berkshire Bank,"0727SC001182",Small Claims,Disposed (Statistical Purposes),20071002,20071023
34189039,Berkshire Bank,"0727SC001391",Small Claims,Disposed (Statistical Purposes),20071114,20071227
34313330,Berkshire Bank,"0727SC001479",Small Claims,Disposed (Statistical Purposes),20071207,20071218
34316350,Berkshire Bank,"0627CV000019",Civil,Disposed (Statistical Purposes),20060112,20070313
34322758,Berkshire Bank,"0727SC001480",Small Claims,Disposed (Statistical Purposes),20071207,20080117
34324630,Berkshire Bank,"0727SC001481",Small Claims,Disposed (Statistical Purposes),20071207,20071218
34331262,Berkshire Bank,"0627CV000022",Civil,Disposed (Statistical Purposes),20060118,20060307
34341873,Berkshire Bank,"0727CV000722",Civil,Disposed (Statistical Purposes),20071128,20080211
34371899,Berkshire Bank,"0727SC001568",Small Claims,Disposed (Statistical Purposes),20071227,20080207
34376913,Berkshire Bank,"0727SC001569",Small Claims,Disposed (Statistical Purposes),20071227,20080207
34421069,Berkshire Bank,"0627CV000202",Civil,Disposed (Statistical Purposes),20060420,20060915
34456712,Berkshire Bank,"0627CV000244",Civil,Disposed (Statistical Purposes),20060505,20060605
34462828,Berkshire Bank,"0627SC000775",Small Claims,Disposed (Statistical Purposes),20060522,20060705
34468685,Berkshire Bank,"0627CV000266",Civil,Disposed (Statistical Purposes),20060518,20060824
34472291,Berkshire Bank,"0627CV000267",Civil,Disposed (Statistical Purposes),20060518,20060920
34483487,Berkshire Bank,"0627SC000729",Small Claims,Disposed (Statistical Purposes),20060522,20060726
34528153,Berkshire Bank,"0827SC000617",Small Claims,Disposed (Statistical Purposes),20080428,20080512
34547906,Berkshire Bank,"0827SC000621",Small Claims,Disposed (Statistical Purposes),20080430,20080604
34555472,Berkshire Bank,"0627SC000855",Small Claims,Disposed (Statistical Purposes),20060620,20060726
34858165,Berkshire Bank,"0927CV000084",Civil,Disposed (Statistical Purposes),20090130,20090303
35219208,Berkshire Bank,"0927CV000269",Civil,Disposed (Statistical Purposes),20090401,20090508
35245488,Berkshire Bank,"0927CV000268",Civil,Disposed (Statistical Purposes),20090401,20090508
35268364,Berkshire Bank,"1627CV000038",Civil,Disposed (Statistical Purposes),20160208,20160314
36110114,Berkshire Bank,"0623CV001139",Civil,Disposed (Statistical Purposes),20060504,20060628
36134794,Berkshire Bank,"0623CV000286",Civil,Disposed (Statistical Purposes),20060203,20060511
36713843,Berkshire Bank,"0929CV000027",Civil,Disposed (Statistical Purposes),20090129,20090319
36764941,Berkshire Bank,"0965CV000415",Civil,Disposed (Statistical Purposes),20090701,20091026
37086107,Berkshire Bank,"0627SC001490",Small Claims,Disposed (Statistical Purposes),20061121,20061227
37091635,Berkshire Bank,"0627SC001489",Small Claims,Disposed (Statistical Purposes),20061121,20061227
37101265,Berkshire Bank,"0627SC001535",Small Claims,Disposed (Statistical Purposes),20061122,20061227
37105866,Berkshire Bank,"0627SC001534",Small Claims,Disposed (Statistical Purposes),20061122,20061227
37165492,Berkshire Bank,"0627SC001585",Small Claims,Disposed (Statistical Purposes),20061207,20070117
37198344,Berkshire Bank,"0627CV000657",Civil,Disposed (Statistical Purposes),20061213,20070316
37238706,Berkshire Bank,"0627SC001690",Small Claims,Disposed (Statistical Purposes),20061222,20070202
37244194,Berkshire Bank,"0627SC001716",Small Claims,Disposed (Statistical Purposes),20061222,20070103
37255167,Berkshire Bank,"0627SC001709",Small Claims,Disposed (Statistical Purposes),20061218,20070119
37525345,Berkshire Bank,"0544SC000704",Small Claims,Disposed (Statistical Purposes),20050801,20051207
37527997,Berkshire Bank,"0544SC000715",Small Claims,Disposed (Statistical Purposes),20050801,20051221
37558167,Berkshire Bank,"0544SC000725",Small Claims,Disposed (Statistical Purposes),20050804,20051222
37563593,Berkshire Bank,"0544SC000724",Small Claims,Disposed (Statistical Purposes),20050804,20051208
37699063,Berkshire Bank,"0644SC000707",Small Claims,Disposed (Statistical Purposes),20060713,20061129
37710283,Berkshire Bank,"0644SC000708",Small Claims,Disposed (Statistical Purposes),20060713,20061013
37711740,Berkshire Bank,"0744SC000362",Small Claims,Disposed (Statistical Purposes),20070410,20070809
37729813,Berkshire Bank,"0644SC000726",Small Claims,Disposed (Statistical Purposes),20060717,20061204
37730914,Berkshire Bank,"0644CV000336",Civil,Disposed (Statistical Purposes),20060717,20061019
37740219,Berkshire Bank,"0744SC000440",Small Claims,Disposed (Statistical Purposes),20070430,20070628
37813822,Berkshire Bank,"0644CV000034",Civil,Disposed (Statistical Purposes),20060126,20060425
37857427,Berkshire Bank,"0744SC001236",Small Claims,Disposed (Statistical Purposes),20071128,20080214
37928145,Berkshire Bank,"0644SC000275",Small Claims,Disposed (Statistical Purposes),20060313,20060815
38172327,Berkshire Bank,"0644SC000537",Small Claims,Disposed (Statistical Purposes),20060518,20060919
38179100,Berkshire Bank,"0644SC000566",Small Claims,Disposed (Statistical Purposes),20060531,20061002
38207640,Berkshire Bank,"0644SC000588",Small Claims,Disposed (Statistical Purposes),20060607,20061002
38660556,Berkshire Bank,"0827CV000734",Civil,Disposed (Statistical Purposes),20080916,20081017
38660793,Berkshire Bank,"0827CV000732",Civil,Disposed (Statistical Purposes),20080916,20081029
38661455,Berkshire Bank,"0827CV000733",Civil,Disposed (Statistical Purposes),20080916,20090416
38682356,Berkshire Bank,"0827SC001184",Small Claims,Disposed (Statistical Purposes),20080813,20081217
38683046,Berkshire Bank,"0827SC001183",Small Claims,Disposed (Statistical Purposes),20080813,20081003
39296563,Berkshire Bank,"0727SC001017",Small Claims,Disposed (Statistical Purposes),20070817,20070830
39344131,Berkshire Bank,"0727CV000558",Civil,Disposed (Statistical Purposes),20070911,20071121
39426224,Berkshire Bank,"0727SC001157",Small Claims,Disposed (Statistical Purposes),20070926,20071030
39580665,Berkshire Bank,"0844SC000137",Small Claims,Disposed (Statistical Purposes),20080219,20080703
39617846,Berkshire Bank,"0844SC000096",Small Claims,Disposed (Statistical Purposes),20080204,20080320
39834643,Berkshire Bank,"0527SP000231",Supplementary Process,Disposed (Statistical Purposes),20051222,20060222
39878858,Berkshire Bank,"0527SC001658",Small Claims,Disposed (Statistical Purposes),20051223,20060203
40173214,Berkshire Bank,"0644SC001068",Small Claims,Disposed (Statistical Purposes),20061013,20061108
40496592,Berkshire Bank,"0927SC000826",Small Claims,Disposed (Statistical Purposes),20090508,20090702
40592986,Berkshire Bank,"0927CV000436",Civil,Disposed (Statistical Purposes),20090605,20090703
40597883,Berkshire Bank,"0927SP000194",Supplementary Process,Disposed (Statistical Purposes),20090603,20090825
40635154,Berkshire Bank,"0927CV000438",Civil,Disposed (Statistical Purposes),20090605,20090703
40640495,Berkshire Bank,"0927CV000437",Civil,Disposed (Statistical Purposes),20090605,20090703
40646541,Berkshire Bank,"0927CV000433",Civil,Disposed (Statistical Purposes),20090605,20090703
40943268,Berkshire Bank,"0844CV000411",Civil,Disposed (Statistical Purposes),20080613,20080806
41858211,Berkshire Bank,"0929SP000058",Supplementary Process,Disposed (Statistical Purposes),20090608,20090717
42149603,Berkshire Bank,"0844SC000593",Small Claims,Disposed (Statistical Purposes),20080620,20080814
42701479,Berkshire Bank,"0844SC000704",Small Claims,Disposed (Statistical Purposes),20080724,20081014
42885188,Berkshire Bank,"0844SC001035",Small Claims,Disposed (Statistical Purposes),20081001,20090224
43437414,Berkshire Bank,"0844SC001087",Small Claims,Disposed (Statistical Purposes),20081010,20081210
43442742,Berkshire Bank,"0844SC001135",Small Claims,Disposed (Statistical Purposes),20081022,20090109
